"PLU","CATEGORY","COMMODITY","VARIETY","SIZE","MEASUREMENTS: NORTH AMERICA","MEASUREMENTS: REST OF WORLD","RESTRICTIONS / NOTES","BOTANICAL NAME","AKA","NOTES","REVISION DATE","DATE ADDED","GPC","IMAGE","IMAGE_SOURCE","","",""
"3067","Fruits","APPLES","Swiss Gourmet"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","","2021-02-26 14:44:42","1999-12-31 00:00:00"," ","","","","",""
"3068","Fruits","APPLES","Swiss Gourmet"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","","2021-02-26 14:47:16","1999-12-31 00:00:00"," ","","","","",""
"3069","Fruits","APPLES","Gravenstein, Red"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","","2021-02-26 14:47:57","1999-12-31 00:00:00"," ","","","","",""
"3070","Fruits","APPLES","Gravenstein, Red","  Large  ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","","2021-02-26 14:48:37","1999-12-31 00:00:00"," ","","","","",""
"3071","Fruits","APPLES","Granny Smith, Red"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:49:37","1999-12-31 00:00:00"," ","","","","",""
"3072","Fruits","APPLES","Lady"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:50:11","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3072-apples-lady-01_1614620585.jpg","","","",""
"3073","Fruits","APPLES","Macoun"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:51:20","1999-12-31 00:00:00"," ","","","","",""
"3074","Fruits","APPLES","Greening (RI)"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:51:53","1999-12-31 00:00:00"," ","","","","",""
"3075","Fruits","APPLES","Baldwin"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:52:30","1999-12-31 00:00:00"," ","","","","",""
"3076","Fruits","APPLES","Melrose"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:53:37","1999-12-31 00:00:00"," ","","","","",""
"3077","Fruits","APPLES","Northern Spy"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:54:06","1999-12-31 00:00:00"," ","","","","",""
"3078","Fruits","APPLES","Liberty"," All Sizes ","","","","Malus domestica","","","2021-02-26 14:54:47","1999-12-31 00:00:00"," ","","","","",""
"3079","Vegetables","ASPARAGUS","Purple","All Sizes","","","This code can be used anyplace in the globe; however, there are other codes for this item that can be used outside of North America.","Asparagus officinalis","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3079-asparagus-purple-01_1614620893.jpg","","","",""
"3080","Fruits","AVOCADOS","Pinkerton","All Sizes","","","","Persea americana","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3081","Fruits","BERRIES","Saskatoon","All Sizes","","","","Amelanchier alnifolia","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3082","Vegetables","BROCCOLI","Crowns","All Sizes","","","","Brassica oleracea","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3082-broccoli-crowns-asian-cut-02_1614621117.jpg","","","",""
"3083","Vegetables","BRUSSELS SPROUTS","Stalk","All Sizes","","","","Brassica olerace","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3083-brussels-sprouts-stalk_1637092988.jpg","","","",""
"3084","Herbs","CHERVIL","","All Sizes","","","","Anthriscus cerefolium","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3084-chervil-01_1614621387.jpg","","","",""
"3085","Vegetables","CORN","Indian, Decorative","Large","","","","Zea mays","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3086","Vegetables","CORN","Indian. Decorative","Mini","","","","Zea mays","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3087","Vegetables","CORN","Indian, Strawberry","All Sizes","","","","Zea mays","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3087-corn-04_1614633780.jpg","","","",""
"3088","Fruits","CURRANTS","Red","All Sizes","","","","Ribes sativum","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3089","Vegetables","EGGPLANT (AUBERGINE)","Chinese","All Sizes","","","","Solanum melongena","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3089-egglplant-chinese_1635266232.jpg","","","",""
